House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
16,Crown Avenue,Alice,Howe,13,Daughter,NA,Female,Student,None,NA
17,Crown Avenue,Pauline,Clarke,44,Head,Single,Female,Unemployed,None,Catholic
17,Crown Avenue,Barbara,Clarke,17,Daughter,NA,Female,Student,None,NA
17,Crown Avenue,Rosie,Clarke,15,Daughter,NA,Female,Student,None,NA
17,Crown Avenue,Maria,Clarke,13,Daughter,NA,Female,Student,None,NA
18,Crown Avenue,Tracey,Daniels,58,Head,Married,Female,Insurance broker,None,Christian
18,Crown Avenue,Duncan,Daniels,60,Husband,Married,Male,Unemployed,None,None
18,Crown Avenue,Amelia,Daniels,33,Daughter,Divorced,Female,"Producer, television/film/video",None,None
19,Crown Avenue,Patricia,French,24,Head,Single,Female,Health service manager,None,Christian
19,Crown Avenue,Christopher,Roberts,29,Partner,Single,Male,"Engineer, chemical",None,Christian
19,Crown Avenue,Hollie,French,1,Daughter,NA,Female,Child,None,NA
20,Crown Avenue,Jenna,Ward,31,Head,Married,Female,"Sales professional, IT",None,Sikh
20,Crown Avenue,Bryan,Ward,35,Husband,Married,Male,"Buyer, industrial",None,Sikh
20,Crown Avenue,Alison,Ward,6,Daughter,NA,Female,Student,None,NA
20,Crown Avenue,Fiona,Ward,5,Daughter,NA,Female,Student,None,NA
21,Crown Avenue,Kimberley,Day,36,Head,Single,Female,Phytotherapist,None,None
21,Crown Avenue,Martin,Fuller,40,Partner,Single,Male,Financial planner,None,None
21,Crown Avenue,Brenda,Day,15,Daughter,NA,Female,Student,Disabled,NA
22,Crown Avenue,Melissa,Akhtar,37,Head,Married,Female,Purchasing manager,None,None
22,Crown Avenue,Owen,Akhtar,35,Husband,Married,Male,Unemployed,None,None
22,Crown Avenue,Eleanor,Akhtar,12,Daughter,NA,Female,Student,None,NA
23,Crown Avenue,Damian,Reed,51,Head,Divorced,Male,Unemployed,None,Christian
23,Crown Avenue,Craig,Reed,21,Son,Single,Male,University Student,None,None
23,Crown Avenue,Kathleen,Reed,19,Daughter,Single,Female,University Student,None,Christian
23,Crown Avenue,Jordan,Reed,17,Son,NA,Male,Student,None,NA
24,Crown Avenue,Sean,Sykes,68,Head,Married,Male,Retired Human resources officer,None,Christian
24,Crown Avenue,Geraldine,Sykes,66,Wife,Married,Female,Environmental manager,None,Christian
25,Crown Avenue,Frances,Savage,45,Head,Married,Female,Training and development officer,None,None
25,Crown Avenue,Samuel,Savage,49,Husband,Married,Male,"Scientist, forensic",None,None
25,Crown Avenue,Thomas,O'Connor,10,Son,NA,Male,Student,None,NA
25,Crown Avenue,Sandra,O'Connor,8,Daughter,NA,Female,Student,None,NA
25,Crown Avenue,Katie,O'Connor,5,Daughter,NA,Female,Student,None,NA
26,Crown Avenue,Alice,Sanders,48,Head,Single,Female,Chief Financial Officer,None,Christian
26,Crown Avenue,George,Holmes,52,Partner,Single,Male,Land/geomatics surveyor,None,Christian
26,Crown Avenue,Melanie,Sanders,14,Daughter,NA,Female,Student,None,NA
27,Crown Avenue,Ashleigh,Clark,41,Head,Single,Female,Health visitor,None,Christian
27,Crown Avenue,Edward,Nicholson,42,Partner,Single,Male,Retail buyer,None,Christian
27,Crown Avenue,Natalie,Clark,7,Daughter,NA,Female,Student,None,NA
27,Crown Avenue,Nicola,Clark,4,Daughter,NA,Female,Child,None,NA
27,Crown Avenue,Matthew,Clark,4,Son,NA,Male,Child,None,NA
28,Crown Avenue,Kathryn,Gardner,66,Head,Married,Female,Seismic interpreter,None,Christian
28,Crown Avenue,Paul,Gardner,68,Husband,Married,Male,"Retired Social research officer, government",None,Christian
28,Crown Avenue,Hollie,Gardner,25,Daughter,Single,Female,Art gallery manager,None,Christian
28,Crown Avenue,Katie,Gardner,8,Daughter,NA,Female,Student,None,NA
29,Crown Avenue,Natasha,Collins,38,Head,Married,Female,IT technical support officer,None,None
29,Crown Avenue,Stanley,Collins,41,Husband,Married,Male,Retail banker,None,None
29,Crown Avenue,Shane,Collins,19,Son,Single,Male,Legal secretary,None,None
29,Crown Avenue,Graham,Collins,15,Son,NA,Male,Student,None,NA
30,Crown Avenue,Stacey,Smith,37,Head,Single,Female,Multimedia programmer,None,Methodist
30,Crown Avenue,Dean,Smith,6,Son,NA,Male,Student,None,NA
30,Crown Avenue,Kim,Smith,2,Daughter,NA,Female,Child,None,NA
31,Crown Avenue,Alexandra,Stephenson,37,Head,Divorced,Female,"Administrator, arts",None,None
31,Crown Avenue,Robin,Stephenson,18,Son,Single,Male,Student,None,None
31,Crown Avenue,Karl,Stephenson,17,Son,NA,Male,Student,None,NA
31,Crown Avenue,Alexander,Stephenson,14,Son,NA,Male,Student,None,NA
31,Crown Avenue,Dennis,Stephenson,11,Son,NA,Male,Student,None,NA
32,Crown Avenue,Denise,Reynolds,58,Head,Married,Female,Museum/gallery exhibitions officer,None,Christian
32,Crown Avenue,Stanley,Reynolds,62,Husband,Married,Male,Unemployed,None,None
32,Crown Avenue,Sian,Reynolds,34,Daughter,Single,Female,"Engineer, communications",None,Christian
33,Crown Avenue,Julia,Wells,68,Head,Married,Female,Retired Hydrologist,None,None
33,Crown Avenue,Daniel,Davies,71,Husband,Married,Male,Retired Agricultural engineer,None,None
33,Crown Avenue,Guy,Wells,13,Grands on,NA,Male,Student,None,NA
34,Crown Avenue,Samantha,Smith,55,Head,Married,Female,Volunteer coordinator,None,Methodist
34,Crown Avenue,Clive,Smith,56,Husband,Married,Male,Ship broker,None,Methodist
34,Crown Avenue,Jodie,Smith,28,Daughter,Single,Female,"Engineer, building services",None,Methodist
35,Crown Avenue,Leslie,Wall,30,Head,Single,Male,Hospital pharmacist,None,None
35,Crown Avenue,Arthur,Hardy,46,None,Single,Male,Community development worker,None,None
35,Crown Avenue,Marc,Cooper,24,None,Single,Male,"Accountant, chartered",None,None
1,Squirrel Drive,Kayleigh,Moore,55,Head,Married,Female,"Investment banker, operational",None,None
1,Squirrel Drive,Dale,Moore,63,Husband,Married,Male,Facilities manager,None,None
2,Squirrel Drive,Sara,Dixon,70,Head,Widowed,Female,Retired Chief Strategy Officer,None,Christian
3,Squirrel Drive,Brian,Green,74,Head,Widowed,Male,Retired Paramedic,None,None
4,Squirrel Drive,Sally,Gray,72,Head,Widowed,Female,"Retired Engineer, drilling",None,Christian
5,Squirrel Drive,Martin,Davies,60,Head,Married,Male,Retail banker,None,Christian
5,Squirrel Drive,Andrea,Davies,58,Wife,Married,Female,"Psychologist, sport and exercise",None,Christian
6,Squirrel Drive,Joyce,Davison,49,Head,Divorced,Female,Operational investment banker,None,None
7,Squirrel Drive,Patricia,Marshall,44,Head,Married,Female,Investment analyst,None,Christian
7,Squirrel Drive,Russell,Marshall,47,Husband,Married,Male,Geoscientist,None,Christian
7,Squirrel Drive,Gerard,Marshall,5,Son,NA,Male,Student,None,NA
7,Squirrel Drive,Owen,Marshall,2,Son,NA,Male,Child,None,NA
8,Squirrel Drive,Alex,Nicholls,18,Head,Single,Male,Student,None,NA
9,Squirrel Drive,Hayley,Hale,37,Head,Single,Female,"Civil engineer, consulting",None,Christian
10,Squirrel Drive,Marie,Potter,60,Head,Single,Female,Psychotherapist,None,Christian
11,Squirrel Drive,Clare,Stokes,21,Head,Married,Female,University Student,None,None
11,Squirrel Drive,Joel,Stokes,25,Husband,Married,Male,Unemployed,None,None
11,Squirrel Drive,Ian,Stokes,4,Son,NA,Male,Child,None,NA
11,Squirrel Drive,Leah,Taylor,32,Lodger,Single,Female,Chief Technology Officer,None,None
12,Squirrel Drive,Stewart,Harrison,35,Head,Divorced,Male,"Producer, radio",None,None
13,Squirrel Drive,Carly,Wilkinson,36,Head,Single,Female,"Administrator, arts",None,Christian
14,Squirrel Drive,Roger,Smith,53,Head,Married,Male,"Designer, multimedia",None,None
14,Squirrel Drive,Jayne,Smith,51,Wife,Married,Female,Sports administrator,None,None
15,Squirrel Drive,Aimee,Reed,43,Head,Married,Female,"Merchandiser, retail",None,None
15,Squirrel Drive,Bradley,Reed,44,Husband,Married,Male,"Conservator, furniture",Physical Disability,None
15,Squirrel Drive,Katy,Reed,13,Daughter,NA,Female,Student,None,NA
16,Squirrel Drive,Hilary,Mills,67,Head,Widowed,Female,Wellsite geologist,None,Catholic
17,Squirrel Drive,Lewis,Webb,83,Head,Single,Male,Retired Building control surveyor,None,Christian
18,Squirrel Drive,Iain,Frost,73,Head,Widowed,Male,"Retired Therapist, occupational",None,Methodist
19,Squirrel Drive,Brandon,Richards,74,Head,Widowed,Male,Retired Cabin crew,None,None
20,Squirrel Drive,Lydia,Hunt,88,Head,Widowed,Female,"Retired Administrator, sports",None,Christian
21,Squirrel Drive,Charlie,Owens,83,Head,Divorced,Male,"Retired Scientist, research (maths)",None,None
22,Squirrel Drive,Lee,Hussain,72,Head,Widowed,Male,Retired Broadcast presenter,None,Christian
23,Squirrel Drive,Jacob,Williams,68,Head,Divorced,Male,"Retired Conservation officer, historic buildings",None,Christian
24,Squirrel Drive,Caroline,Brown,33,Head,Married,Female,"Teacher, English as a foreign language",None,Christian
24,Squirrel Drive,Albert,Brown,34,Husband,Married,Male,"Engineer, petroleum",None,Christian
24,Squirrel Drive,Jenna,Brown,1,Daughter,NA,Female,Child,None,NA
25,Squirrel Drive,Shirley,Francis,60,Head,Married,Female,Local government officer,None,Christian
25,Squirrel Drive,Phillip,Francis,66,Husband,Married,Male,Statistician,None,Christian
26,Squirrel Drive,Jordan,Patel,90,Head,Widowed,Male,Retired Community education officer,None,Methodist
27,Squirrel Drive,Anna,Townsend,42,Head,Married,Female,"Scientist, forensic",None,Methodist
27,Squirrel Drive,Reece,Townsend,44,Husband,Married,Male,Interior and spatial designer,None,None
27,Squirrel Drive,Eleanor,Townsend,11,Daughter,NA,Female,Student,None,NA
28,Squirrel Drive,Benjamin,Adams,27,Head,Married,Male,"Pilot, airline",None,Sikh
28,Squirrel Drive,Ashleigh,Adams,33,Wife,Married,Female,Unemployed,None,None
29,Squirrel Drive,Clifford,Armstrong,82,Head,Single,Male,"Retired Surveyor, building",None,Christian
30,Squirrel Drive,Martin,Harris,48,Head,Single,Male,Haematologist,None,Christian
30,Squirrel Drive,Rebecca,Howell,29,None,Single,Female,Careers information officer,None,Christian
30,Squirrel Drive,Lisa,Brown,64,None,Single,Female,Research scientist (physical sciences),None,Christian
31,Squirrel Drive,Julia,Long,62,Head,Married,Female,"Research officer, trade union",None,Christian
31,Squirrel Drive,Rhys,Long,65,Husband,Married,Male,Geophysicist/field seismologist,None,Christian
32,Squirrel Drive,Zoe,Morris,56,Head,Single,Female,Sports development officer,None,Christian
32,Squirrel Drive,Sean,Taylor,63,Partner,Single,Male,Museum/gallery conservator,None,Christian
32,Squirrel Drive,Karl,Morris,27,Son,Single,Male,Video editor,None,Christian
32,Squirrel Drive,Leah,Morris,5,Daughter,NA,Female,Student,None,NA
33,Squirrel Drive,Danielle,Smith,36,Head,Single,Female,Exercise physiologist,None,None
33,Squirrel Drive,Nigel,Armstrong,35,Partner,Single,Male,Marketing executive,None,None
34,Squirrel Drive,Victoria,Taylor,59,Head,Single,Female,Unemployed,None,None
35,Squirrel Drive,Lucy,Anderson,35,Head,Single,Female,Arts administrator,None,Catholic
36,Squirrel Drive,Linda,Jones,70,Head,Widowed,Female,Retired Fisheries officer,None,Catholic
37,Squirrel Drive,Jodie,Mills,62,Head,Divorced,Female,Training and development officer,None,Christian
38,Squirrel Drive,Glenn,Thomas,71,Head,Widowed,Male,Retired Video editor,None,Methodist
39,Squirrel Drive,Paige,Booth,41,Head,Divorced,Female,Banker,None,None
39,Squirrel Drive,Grace,Booth,0,Daughter,NA,Female,Child,None,NA
40,Squirrel Drive,Maurice,Grant,86,Head,Widowed,Male,Retired Make,None,None
41,Squirrel Drive,Kenneth,King,32,Head,Single,Male,"Scientist, research (medical)",None,Christian
42,Squirrel Drive,Brian,Hale,74,Head,Widowed,Male,Retired Financial controller,None,None
43,Squirrel Drive,Benjamin,Shepherd,24,Head,Divorced,Male,Occupational hygienist,None,Catholic
44,Squirrel Drive,Ben,Hall,24,Head,Single,Male,Social worker,None,Methodist
45,Squirrel Drive,Tony,Brown,38,Head,Single,Male,"Scientist, water quality",None,None
46,Squirrel Drive,Leigh,Taylor,34,Head,Divorced,Male,"Horticulturist, amenity",None,None
47,Squirrel Drive,Charlene,Evans,64,Head,Married,Female,Insurance risk surveyor,None,None
47,Squirrel Drive,William,Evans,65,Husband,Married,Male,Passenger transport manager,None,None
47,Squirrel Drive,Timothy,Evans,30,Son,Widowed,Male,Museum/gallery conservator,None,None
48,Squirrel Drive,Catherine,Gardner,38,Head,Married,Female,Materials engineer,None,None
48,Squirrel Drive,Frank,Gardner,41,Husband,Married,Male,Curator,None,None
49,Squirrel Drive,Gail,Rhodes,43,Head,Widowed,Female,Interior and spatial designer,None,Christian
49,Squirrel Drive,Gerard,Rhodes,12,Son,NA,Male,Student,None,NA
50,Squirrel Drive,Yvonne,Hussain,53,Head,Single,Female,Brewing technologist,None,Christian
50,Squirrel Drive,Glen,Pritchard,52,Partner,Single,Male,"Copywriter, advertising",None,None
50,Squirrel Drive,Justin,Hussain,16,Son,NA,Male,Student,None,NA
51,Squirrel Drive,Lauren,Jenkins,26,Head,Married,Female,Industrial/product designer,None,None
51,Squirrel Drive,Leigh,Jenkins,29,Husband,Married,Male,Electronics engineer,None,None
52,Squirrel Drive,Emily,Holden,35,Head,Single,Female,"Teacher, English as a foreign language",None,Christian
52,Squirrel Drive,Claire,Holden,17,Daughter,NA,Female,Student,None,NA
53,Squirrel Drive,Connor,Martin,43,Head,Divorced,Male,Facilities manager,None,None
54,Squirrel Drive,Marilyn,Taylor,20,Head,Single,Female,University Student,None,Sikh
54,Squirrel Drive,Jayne,Booth,52,None,Single,Female,Unemployed,None,None
54,Squirrel Drive,Owen,Adams,41,None,Single,Male,Unemployed,None,None
55,Squirrel Drive,Patrick,Wilson,73,Head,Widowed,Male,"Retired Secretary, company",None,None
56,Squirrel Drive,Sally,Ball,96,Head,Widowed,Female,Retired Occupational psychologist,None,Catholic
57,Squirrel Drive,Anthony,Akhtar,57,Head,Single,Male,Scientific laboratory technician,None,Christian
58,Squirrel Drive,Douglas,Howard,57,Head,Single,Male,English as a second language teacher,None,Christian
59,Squirrel Drive,Tracy,Gibson,41,Head,Single,Female,Unemployed,None,Christian
59,Squirrel Drive,Natasha,Daniels,50,Lodger,Single,Female,Air traffic controller,None,Christian
60,Squirrel Drive,Suzanne,Burke,56,Head,Single,Female,Audiological scientist,None,Catholic
61,Squirrel Drive,Jack,Phillips,71,Head,Married,Male,Retired Television production assistant,None,Christian
61,Squirrel Drive,Christine,Phillips,69,Wife,Married,Female,Retired Microbiologist,None,Christian
62,Squirrel Drive,Pauline,Blake,72,Head,Single,Female,"Retired Engineer, land",None,Methodist
63,Squirrel Drive,Louise,Hill,43,Head,Single,Female,Educational psychologist,None,Methodist
64,Squirrel Drive,Rebecca,Graham,68,Head,Widowed,Female,"Retired Surveyor, building control",None,Catholic
65,Squirrel Drive,Jordan,John,66,Head,Widowed,Male,Hydrogeologist,None,Christian
66,Squirrel Drive,Brandon,Cooke,20,Head,Single,Male,University Student,None,None
67,Squirrel Drive,Victoria,Power,87,Head,Widowed,Female,Retired Financial manager,None,Christian
68,Squirrel Drive,Melanie,Allen,41,Head,Married,Female,Administrator,None,Catholic
68,Squirrel Drive,Luke,Allen,42,Husband,Married,Male,Secretary/administrator,None,Catholic
68,Squirrel Drive,Eric,Allen,10,Son,NA,Male,Student,None,NA
69,Squirrel Drive,Damian,Hussain,24,Head,Single,Male,Clothing/textile technologist,None,None
70,Squirrel Drive,Jake,Green,19,Head,Single,Male,University Student, ,None
70,Squirrel Drive,Jemma,Fisher,20,Partner,Single,Female,University Student,None,None
71,Squirrel Drive,Michelle,Oliver,28,Head,Single,Female,Cabin crew,None,Christian
72,Squirrel Drive,Josephine,Long,79,Head,Married,Female,Retired Retail buyer,None,None
72,Squirrel Drive,Jason,Long,89,Husband,Married,Male,Retired Records manager,None,None
73,Squirrel Drive,Victor,Morris,73,Head,Widowed,Male,Retired Maintenance engineer,None,Christian
74,Squirrel Drive,Wendy,Knowles,22,Head,Married,Female,University Student,None,None
74,Squirrel Drive,Frederick,Knowles,20,Husband,Married,Male,University Student,None,None
75,Squirrel Drive,Francis,Burgess,67,Head,Married,Male,English as a second language teacher,None,None
75,Squirrel Drive,Margaret,Burgess,63,Wife,Married,Female,Fine artist,None,None
75,Squirrel Drive,Rita,Burgess,24,Daughter,Single,Female,"Investment banker, corporate",None,None
76,Squirrel Drive,Lesley,Moore,81,Head,Widowed,Female,Retired Prison officer,None,Christian
77,Squirrel Drive,Malcolm,Carter,33,Head,Married,Male,Metallurgist,None,None
77,Squirrel Drive,Teresa,Carter,40,Wife,Married,Female,"Administrator, charities/voluntary organisations",None,None
78,Squirrel Drive,Valerie,Holmes,69,Head,Married,Female,"Retired Engineer, technical sales",None,Catholic
78,Squirrel Drive,Bruce,Holmes,73,Husband,Married,Male,Retired Occupational psychologist,None,Catholic
78,Squirrel Drive,Hugh,Holmes,7,Adopted Grandson,NA,Male,Student,None,NA
79,Squirrel Drive,Thomas,Bishop,89,Head,Widowed,Male,"Retired Psychotherapist, dance movement",None,Muslim
80,Squirrel Drive,Leon,McCarthy,26,Head,Single,Male,Hydrogeologist,None,Muslim
81,Squirrel Drive,Shane,Wilson,71,Head,Widowed,Male,"Retired Civil engineer, contracting",None,Christian
82,Squirrel Drive,Pamela,Kay,58,Head,Single,Female,Illustrator,None,None
83,Squirrel Drive,Joyce,Dale,39,Head,Single,Female,"Horticulturist, commercial",None,None
84,Squirrel Drive,Joanne,Young,79,Head,Married,Female,"Retired Administrator, arts",None,Christian
84,Squirrel Drive,Nigel,Young,79,Husband,Married,Male,"Retired Teacher, special educational needs",None,None
85,Squirrel Drive,Heather,Wallace,65,Head,Widowed,Female,Photographer,None,Christian
86,Squirrel Drive,Tracey,Jones,50,Head,Married,Female,Printmaker,None,None
86,Squirrel Drive,Joshua,Jones,52,Husband,Married,Male,Tree surgeon,None,None
86,Squirrel Drive,Hugh,Jones,12,Son,NA,Male,Student,None,NA
87,Squirrel Drive,Paul,Kennedy,70,Head,Divorced,Male,Retired Primary school teacher,None,Catholic
88,Squirrel Drive,Molly,Smart,24,Head,Single,Female,Patent attorney,None,Catholic
89,Squirrel Drive,Nicholas,Parry,54,Head,Single,Male,Sport and exercise psychologist,None,Christian
90,Squirrel Drive,Rachael,Elliott,54,Head,Single,Female,"Engineer, communications",None,Christian
91,Squirrel Drive,Christine,Wood,61,Head,Single,Female,Archaeologist,None,Christian
91,Squirrel Drive,Edward,Simpson,61,Partner,Single,Male,Art therapist,None,Christian
91,Squirrel Drive,Mitchell,Wood,17,Son,NA,Male,Student,None,NA
92,Squirrel Drive,Marcus,Randall,81,Head,Widowed,Male,"Retired Pharmacist, hospital",None,None
93,Squirrel Drive,Martyn,Davies,28,Head,Single,Male,"Horticulturist, amenity",None,None
93,Squirrel Drive,Geraldine,Willis,30,Partner,Single,Female,Physiological scientist,None,None
94,Squirrel Drive,Victor,Smith,54,Head,Single,Male,Therapeutic radiographer,None,Catholic
95,Squirrel Drive,Olivia,Cooper,71,Head,Widowed,Female,Retired International aid/development worker,None,Catholic
96,Squirrel Drive,Denise,Bartlett,44,Head,Single,Female,"Administrator, charities/voluntary organisations",None,None
96,Squirrel Drive,Ruth,Bartlett,12,Adopted Daughter,NA,Female,Student,None,NA
96,Squirrel Drive,Jane,Bartlett,8,Daughter,NA,Female,Student,None,NA
97,Squirrel Drive,Maureen,Howells,43,Head,Married,Female,Ecologist,None,Christian
97,Squirrel Drive,Bruce,Howells,45,Husband,Married,Male,Planning and development surveyor,None,Christian
97,Squirrel Drive,Kevin,Howells,17,Son,NA,Male,Student,None,NA
98,Squirrel Drive,Amber,Henderson,29,Head,Single,Female,Multimedia specialist,None,Catholic
99,Squirrel Drive,Kelly,Hughes,19,Head,Single,Female,University Student,None,Muslim
100,Squirrel Drive,Ronald,Whitehead,37,Head,Widowed,Male,"Therapist, nutritional",None,Christian
100,Squirrel Drive,Dale,Whitehead,4,Son,NA,Male,Child,None,NA
101,Squirrel Drive,Lorraine,Ali,87,Head,Widowed,Female,Retired Rural practice surveyor,None,None
102,Squirrel Drive,Keith,Wilson,36,Head,Single,Male,"Journalist, broadcasting",None,None
102,Squirrel Drive,Philip,Fraser,39,None,Single,Male,"Engineer, manufacturing",None,Christian
103,Squirrel Drive,Elizabeth,Taylor,83,Head,Widowed,Female,Retired TEFL teacher,None,Christian
104,Squirrel Drive,Stacey,Hunter,46,Head,Single,Female,"Research officer, government",None,None
104,Squirrel Drive,Craig,Hunter,8,Son,NA,Male,Student,None,NA
105,Squirrel Drive,Kathryn,Thomas,80,Head,Widowed,Female,Retired Careers adviser,None,Christian
106,Squirrel Drive,Gordon,Rogers,53,Head,Widowed,Male,Applications developer,None,None
107,Squirrel Drive,Hazel,Davis,23,Head,Single,Female,"Designer, graphic",None,Methodist
108,Squirrel Drive,Owen,Chambers,47,Head,Married,Male,Call centre manager,None,None
108,Squirrel Drive,Josephine,Chambers,45,Wife,Married,Female,Unemployed,None,None
109,Squirrel Drive,Samantha,Lloyd,66,Head,Widowed,Female,"Scientist, research (physical sciences)",None,Christian
110,Squirrel Drive,Stewart,Fletcher,72,Head,Divorced,Male,"Retired Scientist, research (maths)",None,None
111,Squirrel Drive,Marc,Phillips,35,Head,Married,Male,Forensic scientist,None,Christian
111,Squirrel Drive,Marian,Phillips,37,Wife,Married,Female,Translator,None,Christian
112,Squirrel Drive,Gail,Wood,42,Head,Single,Female,Unemployed,None,None
112,Squirrel Drive,Mathew,Wood,5,Son,NA,Male,Student,None,NA
113,Squirrel Drive,Bethan,Green,39,Head,Single,Female,Chief Marketing Officer,None,None
113,Squirrel Drive,Philip,Read,38,Partner,Single,Male,Commercial horticulturist,None,None
113,Squirrel Drive,Rosemary,Green,11,Daughter,NA,Female,Student,None,NA
114,Squirrel Drive,Alison,Baker,72,Head,Widowed,Female,Retired Architectural technologist,None,None
115,Squirrel Drive,Vincent,Harris,53,Head,Single,Male,Art gallery manager,None,Christian
116,Squirrel Drive,Georgia,Richards,27,Head,Married,Female,Oncologist,None,Christian
116,Squirrel Drive,Oliver,Richards,23,Husband,Married,Male,Medical laboratory scientific officer,None,Christian
117,Squirrel Drive,Louis,Sutton,85,Head,Married,Male,Retired Transport planner,None,Christian
117,Squirrel Drive,Louise,Sutton,81,Wife,Married,Female,Retired Make,None,Christian
118,Squirrel Drive,Martyn,Clark,41,Head,Single,Male,"Pharmacist, community",None,None
119,Squirrel Drive,Gerard,Thomas,86,Head,Widowed,Male,"Retired Engineer, electrical",None,None
120,Squirrel Drive,Lynne,Morris,82,Head,Married,Female,Retired Nature conservation officer,None,Christian
120,Squirrel Drive,Marcus,Morris,81,Husband,Married,Male,Retired Communications engineer,None,None
121,Squirrel Drive,Gregory,Wilkinson,57,Head,Single,Male,Management consultant,Blind,Sikh
122,Squirrel Drive,Dominic,Crawford,41,Head,Single,Male,Magazine journalist,None,Catholic
123,Squirrel Drive,Jayne,Austin,33,Head,Single,Female,Geoscientist,None,Methodist
124,Squirrel Drive,Mohammed,Reeves,20,Head,Single,Male,University Student,None,None
125,Squirrel Drive,Paul,Buckley,68,Head,Married,Male,Retired Information officer,None,Christian
125,Squirrel Drive,Diana,Buckley,65,Wife,Married,Female,Acupuncturist,None,Christian
126,Squirrel Drive,Claire,Rowe,53,Head,Single,Female,Magazine features editor,None,Christian
127,Squirrel Drive,Emma,Morrison,41,Head,Single,Female,Corporate treasurer,None,None
128,Squirrel Drive,Suzanne,Jennings,36,Head,Single,Female,Bonds trader,None,None
128,Squirrel Drive,Judith,Morton,30,None,Single,Female,Science writer,None,Sikh
129,Squirrel Drive,Neil,Whitehead,52,Head,Divorced,Male,Magazine features editor,None,Christian
130,Squirrel Drive,Kayleigh,Williams,56,Head,Single,Female,Unemployed,None,Methodist
131,Squirrel Drive,Elliot,Williams,70,Head,Single,Male,Unemployed,None,Christian
132,Squirrel Drive,Beth,Nicholls,45,Head,Married,Female,Public affairs consultant,None,Christian
132,Squirrel Drive,Nigel,Nicholls,47,Husband,Married,Male,Charity officer,None,None
133,Squirrel Drive,Nathan,Bates,37,Head,Single,Male,Mudlogger,None,None
134,Squirrel Drive,Lawrence,Moss,51,Head,Married,Male,"Psychologist, sport and exercise",None,Christian
134,Squirrel Drive,Kathleen,Moss,49,Wife,Married,Female,Gaffer,None,None
135,Squirrel Drive,Dominic,Watson,21,Head,Divorced,Male,University Student,None,None
136,Squirrel Drive,Megan,Green,38,Head,Married,Female,Radio producer,None,Catholic
136,Squirrel Drive,Norman,Green,38,Husband,Married,Male,"Civil engineer, consulting",None,Catholic
136,Squirrel Drive,Alex,Marshall,19,Lodger,Single,Male,University Student,None,None
137,Squirrel Drive,Nigel,King,34,Head,Single,Male,Air broker,None,None
137,Squirrel Drive,Christine,Hamilton,38,Partner,Single,Female,Purchasing manager,None,None
138,Squirrel Drive,Mark,Doherty,71,Head,Widowed,Male,Retired Insurance underwriter,None,Christian
139,Squirrel Drive,Alex,Horton,38,Head,Divorced,Male,Cytogeneticist,None,None
140,Squirrel Drive,Lynn,Adams,40,Head,Single,Female,Personal assistant,None,None
141,Squirrel Drive,Jacqueline,Collins,78,Head,Widowed,Female,Retired Lexicographer,None,Christian
142,Squirrel Drive,Kelly,Goddard,36,Head,Married,Female,Senior tax professional/tax inspector,None,Catholic
142,Squirrel Drive,Danny,Goddard,39,Husband,Married,Male,Retail manager,None,Catholic
142,Squirrel Drive,Pauline,Goddard,13,Daughter,NA,Female,Student,None,NA
143,Squirrel Drive,Marc,Porter,58,Head,Single,Male,"Merchandiser, retail",None,Catholic
144,Squirrel Drive,Christian,Green,62,Head,Married,Male,"Engineer, structural",None,Christian
144,Squirrel Drive,Jacqueline,Green,55,Wife,Married,Female,Chief Executive Officer,None,Christian
145,Squirrel Drive,Kerry,Farrell,66,Head,Widowed,Female,Housing manager/officer,None,Christian
146,Squirrel Drive,Mark,Kennedy,81,Head,Married,Male,Retired Company secretary,None,Catholic
146,Squirrel Drive,Helen,Kennedy,82,Wife,Married,Female,"Retired Editor, magazine features",None,Catholic
147,Squirrel Drive,Jake,Pearson,45,Head,Married,Male,Herbalist,None,Christian
147,Squirrel Drive,Georgina,Pearson,43,Wife,Married,Female,Accommodation manager,None,Christian
147,Squirrel Drive,Jeffrey,Mitchell,4,Grandson,NA,Male,Child,None,NA
148,Squirrel Drive,Jill,Miller,40,Head,Married,Female,Comptroller,None,Catholic
148,Squirrel Drive,Luke,Miller,35,Husband,Married,Male,Nutritional therapist,None,Catholic
149,Squirrel Drive,Shane,Dobson,39,Head,Single,Male,Architect,None,Muslim
150,Squirrel Drive,Bradley,Wilson,80,Head,Divorced,Male,Retired Psychiatric nurse,None,Christian
151,Squirrel Drive,Eileen,Roberts,45,Head,Divorced,Female,Associate Professor,None,Christian
151,Squirrel Drive,Lynn,Roberts,21,Daughter,Single,Female,"Editor, film/video",None,None
152,Squirrel Drive,Jennifer,Smith,66,Head,Widowed,Female,Research scientist (medical),None,Christian
153,Squirrel Drive,Gillian,O'Connor,37,Head,Single,Female,Museum/gallery exhibitions officer,None,None
154,Squirrel Drive,Brenda,Briggs,55,Head,Single,Female,Sports therapist,None,None
155,Squirrel Drive,Kathryn,West,82,Head,Widowed,Female,Retired Music therapist,None,None
156,Squirrel Drive,Dean,McDonald,32,Head,Single,Male,"Surveyor, land/geomatics",None,Catholic
157,Squirrel Drive,Christopher,Edwards,27,Head,Single,Male,Comptroller,None,None
